date,champion
"1950-09-03","Nino Farina"
"1951-10-28","Juan Fangio"
"1952-08-03","Alberto Ascari"
"1953-08-23","Alberto Ascari"
"1954-08-22","Juan Fangio"
"1955-07-16","Juan Fangio"
"1956-09-02","Juan Fangio"
"1957-08-04","Juan Fangio"
"1958-10-19","Mike Hawthorn"
"1959-12-12","Jack Brabham"
"1960-09-04","Jack Brabham"
"1961-09-10","Phil Hill"
"1962-12-29","Graham Hill"
"1963-09-08","Jim Clark"
"1964-10-25","John Surtees"
"1965-08-01","Jim Clark"
"1966-09-04","Jack Brabham"
"1967-10-22","Denny Hulme"
"1968-11-03","Graham Hill"
"1969-09-07","Jackie Stewart"
"1970-10-04","Jochen Rindt"
"1971-08-15","Jackie Stewart"
"1972-09-10","Emerson Fittipaldi"
"1973-09-09","Jackie Stewart"
"1974-10-06","Emerson Fittipaldi"
"1975-09-07","Niki Lauda"
"1976-10-24","James Hunt"
"1977-10-02","Niki Lauda"
"1978-09-10","Mario Andretti"
"1979-09-09","Jody Scheckter"
"1980-09-28","Alan Jones"
"1981-10-17","Nelson Piquet"
"1982-09-25","Keke Rosberg"
"1983-10-15","Nelson Piquet"
"1984-10-21","Niki Lauda"
"1985-10-06","Alain Prost"
"1986-10-26","Alain Prost"
"1987-11-01","Nelson Piquet"
"1988-10-30","Ayrton Senna"
"1989-10-22","Alain Prost"
"1990-10-21","Ayrton Senna"
"1991-10-20","Ayrton Senna"
"1992-08-16","Nigel Mansell"
"1993-09-26","Alain Prost"
"1994-11-13","Michael Schumacher"
"1995-10-22","Michael Schumacher"
"1996-10-13","Damon Hill"
"1997-10-26","Jacques Villeneuve"
"1998-11-01","Mika Häkkinen"
"1999-10-31","Mika Häkkinen"
"2000-10-08","Michael Schumacher"
"2001-08-19","Michael Schumacher"
"2002-07-21","Michael Schumacher"
"2003-10-12","Michael Schumacher"
"2004-08-29","Michael Schumacher"
"2005-09-25","Fernando Alonso"
"2006-10-22","Fernando Alonso"
"2007-10-21","Kimi Räikkönen"
"2008-11-02","Lewis Hamilton"
"2009-10-18","Jenson Button"
"2010-11-14","Sebastian Vettel"
"2011-10-09","Sebastian Vettel"
"2012-11-25","Sebastian Vettel"
"2013-10-27","Sebastian Vettel"
"2014-11-23","Lewis Hamilton"
"2015-10-25","Lewis Hamilton"
"2016-11-27","Nico Rosberg"
"2017-10-29","Lewis Hamilton"
"2018-10-28","Lewis Hamilton"
"2019-11-03","Lewis Hamilton"
"2020-11-15","Lewis Hamilton"
"2021-12-12","Max Verstappen"